eta,f'(eta)
1.56852284095,0.507387644066
1.5765255085,0.509775256571
1.58452817606,0.51215897176
1.59253084361,0.514538757055
1.60053351117,0.516914579882
1.60853617873,0.519286407668
1.61653884628,0.521654207849
1.62454151384,0.524017947872
1.63254418139,0.526377595194
1.64054684895,0.52873311729
1.64854951651,0.531084481654
1.65655218406,0.533431655799
1.66455485162,0.535774607267
1.67255751917,0.538113303625
1.68056018673,0.540447712472
1.68856285428,0.54277780144
1.69656552184,0.545103538178
1.7045681894,0.54742489035
1.71257085695,0.54974182569
1.72057352451,0.552054311978
1.72857619206,0.554362317044
1.73657885962,0.556665808765
1.74458152718,0.558964755072
1.75258419473,0.561259123954
1.76058686229,0.563548883457
1.76858952984,0.565834001693
1.7765921974,0.568114446836
1.78459486495,0.570390187131
1.79259753251,0.572661190894
